"","total_vaccinated","people_vaccinated","people_fully_vaccinated","maTotal","maPeople_vaccinated","maPeople_fully_vaccinated","date"
"322",41040,31798,9242,20557.5714285714,15557.7142857143,4999.85714285714,2022-03-02
"323",0,0,0,38226.2857142857,30004,8222.28571428571,2022-03-03
"324",0,0,0,34253,26516,7737,2022-03-04
"325",0,0,0,29106.7142857143,23375.7142857143,5731,2022-03-05
"326",149631,120306,29325,23243.8571428571,18833.1428571429,4410.71428571429,2022-03-06
"327",13076,11526,1550,34138.4285714286,28257.7142857143,5880.71428571429,2022-03-07
"328",0,0,0,41148,34852.4285714286,6295.57142857143,2022-03-08
"329",0,0,0,41148,34852.4285714286,6295.57142857143,2022-03-09
"330",76262,65972,10290,19772.1428571429,17665.8571428571,2106.28571428571,2022-03-10
"331",49067,46163,2904,32075,28881,3194,2022-03-11
"332",0,0,0,38592,34606.2857142857,3985.71428571429,2022-03-12
"333",0,0,0,44538.4285714286,39591,4947.42857142857,2022-03-13
"334",99196,90032,9164,40124.5714285714,36105.5714285714,4019,2022-03-14
"335",45619,40077,5542,39828.1428571429,35145.1428571429,4683,2022-03-15
"336",41625,34893,6732,39828.1428571429,35145.1428571429,4683,2022-03-16
"337",45365,41574,3791,39828.1428571429,35145.1428571429,4683,2022-03-17
"338",46992,39440,7552,34894.7142857143,30350.8571428571,4543.85714285714,2022-03-18
"339",0,0,0,32225.8571428571,27400.1428571429,4825.71428571429,2022-03-19
"340",0,0,0,31611.7142857143,26344.4285714286,5267.28571428571,2022-03-20
"341",64662,56472,8190,25131,20405.2857142857,4725.71428571429,2022-03-21
"342",26937,19422,7515,23478.4285714286,17945.5714285714,5532.85714285714,2022-03-22
